product_name;product_description;shelflife;sample_weights;CN_code;country_of_origin;product_group;product_group_new;product_family;product_family_internal;product_segment_text;common_applications;dairy;bakery & sweets;nutrition;savoury;single ingredients;kosher;super_kosher;halal;vlog;bio;rspo_mb;rspo_sg;vegetarian;vegan;palmfree;clean;acid_stable;palm_fat;dairy_fat_fat;"
sunflower_fat";rapeseed_fat;hydrogenated_fat;non_hydrogenated_fat;fat_content_lt_40;fat_content_gt_40_lt_70;70-80;0-20;20-50;50-70;70-95
Edifett® HWP 021 MB ;Hydrogenated palmkernel and dairy oil, based on SMP, very creamy, milky taste;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ;TRUE; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 007 ;Hydrogenated palmkernel oil, For milk application ;18 months;200,500,1000,Anfrage;2106 9098;DE;Whipping Agents;Fatpowder;Whipping Agents;Edifett HWP;bakery & sweets;Cake filling & decoration creme;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 009 ;Hydrogenated palmkernel oil, not recommended for milk applications;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 011-9 ;Hydrogenated palmkernel oil, functionality slightly better then HWP 007 and 009;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWP 502 ;Partially hydrogated palmkernel oil and hydrogenated dairy oil, pre-stabilized, former Edifett HWP 026 RA;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® P80 P50 G SG;Non-hydrogenated palm oil 80%, based on glucose syrup, low TFA content, ;18 months;;2106 9098;DE;Fat Powder;;;;bakery & sweets,savoury;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Edifett® SCP 001 SG ;Baking emulsifier, higher volume compared to SCP 002;18 months;;2106 9098;DE;Baking Emulsifier;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® SCP 002 SG ;Baking emulsifier, stable crumb structure ;18 months;;2106 9098;DE;Baking Emulsifier;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
EDIFETT® SCP 006 MB ;Baking emulsifier, reduced E-Numbers;18 months;;2106 9098;DE;Baking Emulsifier;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ;TRUE;FALSE;vegetarian;not vegan;not palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® F 60 P 50 L SG ;Non-hydrogenated palm oil 60%, includes lactose, freeze and thaw stable ;18 months;;2106 9092;DE;Fat Powder;;;;savoury;;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;FALSE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® N 77 P 50 L SG ;Non-hydrogenated palmoil 77%, no E-Numbers, includes Lactose (kosher and halal certified), high whitening power, also suitable for retorting processes  ;18 months;;2106 9092;DE;Fat Powder;;;;savoury;;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE; ; ; ;TRUE;vegetarian;not vegan;not palmfree;TRUE; ;TRUE;FALSE; ;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Meggle MULIN® ;Milk protein 77%, for industrial production of bakery glaze;24 months;;2106 9098;DE;Milk Protein Compound;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Megglite® 35-11 ;Hydrogenated dairy fat >36%, ideal for 2in1 and 3in1 blends, with beta carotene, suitable for water with a high hardness level;18 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Megglite® 35-25 ;Hydrogenated dairy fat >32%, without beta caroteen, low free fat content, ideal for vending machines;24 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Megglite® 701;Extra fine extruded Sodium Caseinate;18 months;;2106 9098;DE;Coffee Whitener;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Foamer C 23 ;Hydrogenated dairy fat 23%, 12% protein, only slight functionality differences compared to M 35;18 months;;2106 9098;DE;Foamer;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Foamer M 35;Hydrogenated dairy fat 23%, 14% protein, only slight functionality differences compared to C 23;18 months;;2106 9098;DE;Foamer;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Edifett® HWN ;Hydrogenated dairy fat, Palm free, Attention: Emulsifier based on palm ;18 months;;2106 9098;DE;Whipping Agents;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;TRUE; ;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Globulal® 70 N VLOG;WPC 70, neutral pH value;18 months;;0404 1014;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Globulal® 70 N;WPC 70, neutral pH value;18 months;;0404 1014;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Acid Casein 110 mesh VLOG; ;36 months;;3501 1090;DE;Casein;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Emulac® CC VLOG;Extruded Calcium Caseinate ;36 months;;3501 9090;DE;Caseinate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Emulac® NA VLOG;Extruded Sodium Caseinate;36 months;;3501 9090;DE;Caseinate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Globulal® 80 N VLOG;WPC 80, neutral pH value;18 months;;3502 2091;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Globulal® 80 HGS VLOG;WPC 80, high gelling, neutral pH value, salt sensivity (gel strenght increases by adding salt);18 months;;3502 2091;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury;;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Acid Casein 110 mesh; ;36 months;;3501 1090;DE;Casein;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Emulac® CC ;Extruded Calcium Caseinate ;36 months;;3501 9090;DE;Caseinate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Emulac® NA ;Extruded Sodium Caseinate;36 months;;3501 9090;DE;Caseinate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Emulac® NA-F ;Extra fine extruded Sodium Caseinate;36 months;;3501 9090;DE;Caseinate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Globulal® 80 N;WPC 80, neutral pH value;18 months;;3502 2091;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Globulal® 80 HGS;WPC 80, high gelling, neutral pH value, salt sensivity (gel strenght increases by adding salt);18 months;;3502 2091;DE;WPC;;;;dairy,bakery & sweets,nutrition,savoury;;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
MPC 85% A KD;Milkproteinconcentrate, ex stock WBG and FTL/FCL`s ex Switzerland possible, no country restrictions;18 months;;3504 0010;CH;Milk Protein Concentrate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
MPI 85 SK ;Milkproteinisolate ~85%,  Super kosher (High price!), FCL only;12 months;;3504 0010;US;Milk Protein Isolate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
MPP SK ;Milk permeate powder, Super kosher (High price!), FCL only ;24 months;;0404 9021;US;Milk Permeate Powder;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
MPI 85 ;Milkproteinisolate ~85%, FCL only, no country restrictions;24 months;;3504 0010;US;Milk Protein Isolate;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;FALSE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Globulal® 70 A VLOG;WPC 70, low pH value;18 months;;0404 1014;DE;WPC;;;;dairy,nutrition,savoury;;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Globulal® 70 A;WPC 70, low pH value;18 months;;0404 1014;DE;WPC;;;;dairy,nutrition,savoury;;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
MTM® SPORT 10;Protein ~82%, protein shakes, nutrition;15 months;; 3504 0010;DE;Milk Protein Compound;;;;dairy,nutrition;;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
MTM® SPORT 5 ;Protein ~82%, protein shakes, nutrition;15 months;; 3504 0010;DE;Milk Protein Compound;;;;dairy,nutrition;;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Buttermilkpowder; ;12 months;200,500,1000,Anfrage;0403 9013;DE;Buttermilkpowder;Milk & Wheypowder;Buttermilkpowder;Buttermilkpowder;dairy,bakery & sweets,single ingredients;Yoghurt & Sour Milk Products,Cream Cheese,Milk Based Beverages,Cake filling & decoration creme,Dressings and mayonnaises;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Casinella® QN-K;Protein (only casein) ~86%, protein enrichment of vat milk > Cheese production;36 months;;3501 9090;DE;Caseinate;;;;dairy;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE; ; ; ; ;vegetarian;not vegan;palmfree;TRUE; ;FALSE;FALSE; ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Acid Casein 30/60 mesh VLOG; ;36 months;;3501 1090;DE;Casein;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;  ;  ;  ;vegetarian;not vegan;palmfree;TRUE;  ;FALSE;FALSE;  ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Acid Casein 30/60 mesh; ;36 months;;3501 1090;DE;Casein;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;  ;  ;  ;  ;vegetarian;not vegan;palmfree;TRUE;  ;FALSE;FALSE;  ;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
WPC 80 INSTANT DS ;Whey protein concentrate instantised with deoiled soyalecithin, Minimum order qty 8.2 MT, no country restrictions;24 months;;3502 2091;NL;WPC;;;;dairy,bakery & sweets,nutrition,savoury,single ingredients;;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE; ;not vegetarian;not vegan;palmfree;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
EDIFETT F 75 SB;Partially hydrogenated sunflower oil 75%, includes Lactose, freeze and thaw stable, suitable for retorting processes (not lower then 5,5 pH!);18 months;;2106 9092;DE;Fat Powder;;;;bakery & sweets,nutrition,savoury;;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;not vegetarian;not vegan;not palmfree;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Combimec® T-5 ;Customer exclusive product, good emulsifying properties, similar to SC 29;18 months;;1901 9099;DE;Compound based on Milk and/ or Whey;;;;bakery & sweets,savoury;;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;not vegetarian;not vegan;not palmfree;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
FOAMER 9261 ;Hydrogenated dairy fat 26%, 14% protein, includes delactosed whey powder;18 months;;2106 9098;DE;Foamer;;;;bakery & sweets;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;not vegetarian;not vegan;not palmfree;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
