product_name_alias;product_description;shelflife;CN_code;country_of_origin;product_group;list_of_product_segments;dairy;bakery_sweets;nutrition;savoury;single_ingredients;kosher;super_kosher;halal;vlog;bio;rspo_mb;rspo_sg;vegetarian;vegan;palmfree;clean;acid_stable;palm_fat;dairy_fat_fat;sunflower_fat;rapeseed_fat;hydrogenated_fat;non_hydrogenated_fat;fat_content_below_40_percent;fat_content_between_40_and_70_percent;fat_content_between_70_and_80_percent;protein_content_below_20_percent;protein_content_between_20_and_50_percent;protein_content_between_50_and_70_percent;protein_content_between_70_and_95_percent
Product 145;NEW! Non-Hydrogenated PKO, optimized HWP 011-9;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 146;Whipping Agents;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 147;Whipping Agents;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 148;Partially hydrogated palmkernel oil and hydrogenated dairy oil, pre-stabilized, former Edifett HWP 026 RA;18 months;2106 9098;DE;Whipping Agents;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 149;Non-hydrogenated palmoil 77%, no E-Numbers, includes Lactose (kosher and halal certified), high whitening power, also suitable for retorting processes  ;18 months;2106 9092;DE;Fat Powder;savoury;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 150;Non-hydrogenated palm oil 80%, based on glucose syrup, low TFA content, ;18 months;2106 9098;DE;Fat Powder;bakery & sweets, savoury;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 151;Non-hydrogenated palm oil 80%, based on lactose, low TFA content, ;18 months;2106 9092;DE;Fat Powder;bakery & sweets, savoury;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
Product 152;Baking emulsifier, higher volume compared to SCP 002;18 months;2106 9098;DE;Baking Emulsifier;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 153;Baking emulsifier, stable crumb structure ;18 months;2106 9098;DE;Baking Emulsifier;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 154;Baking emulsifier, reduced E-Numbers;18 months;2106 9098;DE;Baking Emulsifier;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 155;Baking emulsifier, extruded type, tool manufacturing material;12 months;2106 9098;DE;Baking Emulsifier;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Product 156;Extruded Calcium Caseinate ;36 months;3501 9090;DE;Caseinate;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 157;Extruded Calcium Caseinate ;36 months;3501 9090;DE;Caseinate;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 158;Extruded Sodium Caseinate;36 months;3501 9090;DE;Caseinate;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 159;Extruded Sodium Caseinate;36 months;3501 9090;DE;Caseinate;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 160;Extra fine extruded Sodium Caseinate;36 months;3501 9090;DE;Caseinate;dairy, bakery & sweets, nutrition, savoury, single ingredients;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Product 161;Hydrogenated dairy fat 26%, 14% protein, includes delactosed whey powder;18 months;2106 9098;DE;Foamer;bakery & sweets;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
