meggle´s_corresponding_product_family,protein_content_minimum%,certifications,fat_source,product_family,product_description,fat_content_maximum%,protein_content_maximum%,product_segment,product_name_alias,product_group,dietary_forms,product_features,fat_content_minimum%,common_applications,fat_type
P15,,"['kosher', 'halal', 'rspo sg']",['palm'],Creamer,,0.699,,"['bakery & sweets', 'savoury']",Product 15,Fatpowder,"['vegetarian', 'vegan', 'lactose free', 'gluten free']",['acid stable'],0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'soups and sauces', 'dressings and mayonnaises']",
P16,,"['kosher', 'halal']",['sunflower'],Creamer,,0.699,,"['bakery & sweets', 'nutrition', 'savoury']",Product 16,Fatpowder,"['vegetarian', 'vegan', 'lactose free', 'gluten free']","['palmfree', 'acid stable']",0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'sports nutrition', 'nutritional meals', 'soups and sauces', 'dressings and mayonnaises']",
P22,,"['kosher', 'halal']",['coconut'],Whipping Agent,,0.699,,['bakery & sweets'],Product 22,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P23,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 23,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P24,,"['kosher', 'halal', 'rspo mb']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 24,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P25,,"['kosher', 'halal', 'rspo sg']","['palm', ' ']",Whipping Agent,,0.699,,['bakery & sweets'],Product 25,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P26,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 26,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P27,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 27,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P28,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 28,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P29,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 29,Fatpowder,"['vegetarian', 'gluten free']",['acid stable'],0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P30,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 30,Fatpowder,"['vegetarian', 'gluten free']",['acid stable'],0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P31,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 31,Fatpowder,"['vegetarian', 'lactose free', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P32,,"['kosher', 'halal', 'rspo mb']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 32,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P33,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 33,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P34,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 34,Fatpowder,"['vegetarian', 'lactose free', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P35,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 35,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P36,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 36,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P37,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 37,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P38,,"['kosher', 'halal']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 38,Fatpowder,"['vegetarian', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['non hydrogenated']
P39,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 39,Fatpowder,"['vegetarian', 'non-added sugar', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P40,,"['kosher', 'halal', 'rspo sg']",['palm'],Whipping Agent,,0.699,,['bakery & sweets'],Product 40,Fatpowder,"['vegetarian', 'lactose free', 'gluten free']",,0.4,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream']",['hydrogenated']
P41,,"['kosher', 'halal', 'rspo sg']",,Baking Emulsifiers,,0.699,,['bakery & sweets'],Product 41,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['emulsifiers for pastry products'],
P42,,"['kosher', 'halal', 'rspo sg']",,Baking Emulsifiers,,0.699,,['bakery & sweets'],Product 42,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['emulsifiers for pastry products'],
P43,,"['kosher', 'halal', 'rspo sg']",,Baking Emulsifiers,,0.699,,['bakery & sweets'],Product 43,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['emulsifiers for pastry products'],
P44,,"['kosher', 'halal', 'rspo sg']",,Baking Emulsifiers,,0.699,,['bakery & sweets'],Product 44,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['emulsifiers for pastry products'],
P93,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.699,,['bakery & sweets'],Product 93,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['hot beverages'],['hydrogenated']
P94,,"['kosher', 'halal']",['coconut'],Coffee Whiteners,,0.699,,['bakery & sweets'],Product 94,Fatpowder,"['vegetarian', 'gluten free']",,0.4,['hot beverages'],['hydrogenated']
P17,,"['kosher', 'halal']",['coconut'],Creamer,,1.0,,['bakery & sweets'],Product 17,Fatpowder,"['vegetarian', 'vegan', 'lactose free', 'gluten free']","['palmfree', 'acid stable']",0.7,"['cake filling & decoration creme', 'cold-cream and custard cream']",
P18,,"['kosher', 'halal']",['sunflower'],Creamer,,1.0,,"['bakery & sweets', 'nutrition', 'savoury']",Product 18,Fatpowder,"['vegetarian', 'gluten free']",,0.7,"['cake filling & decoration creme', 'cold-cream and custard cream', 'sports nutrition', 'nutritional meals', 'soups and sauces', 'dressings and mayonnaises']",
P20,,"['kosher', 'halal']",['palm'],Creamer,,1.0,,"['bakery & sweets', 'savoury']",Product 20,Fatpowder,"['vegetarian', 'gluten free']",,0.7,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream', 'soups and sauces', 'dressings and mayonnaises']",
P21,,"['kosher', 'halal']",['palm'],Creamer,,1.0,,"['bakery & sweets', 'savoury']",Product 21,Fatpowder,"['vegetarian', 'gluten free']",,0.7,"['cake filling & decoration creme', 'cold-cream and custard cream', 'ice cream', 'soups and sauces', 'dressings and mayonnaises']",
P54,0.0,"['-', '-']",,Proteinenriched Whey Powder,,,0.199,"['nutrition', 'savoury', 'single ingredients']",Product 54,Milk & Whey Powder,"['vegetarian', 'gluten free']",['clean label'],,"['nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P7,0.2,"['-', '-']",,Stabilising Compounds for Meat & Sausages,,,0.499,['savoury'],Product 7,Functional Compounds,"['vegetarian', 'gluten free']",,,"['cooked, scalded and raw sausage', 'processed meat products']",
P8,0.2,"['-', '-']",,Stabilising Compounds for Meat & Sausages,,,0.499,['savoury'],Product 8,Functional Compounds,"['vegetarian', 'gluten free']",,,"['cooked, scalded and raw sausage', 'processed meat products']",
P9,0.2,"['-', 'halal']",,Stabilising Compounds for Meat & Sausages,,,0.499,['savoury'],Product 9,Functional Compounds,"['vegetarian', 'gluten free']",,,"['cooked, scalded and raw sausage', 'processed meat products']",
P55,0.2,"['kosher', 'halal']",,Proteinenriched Whey Powder,,,0.499,"['nutrition', 'savoury', 'single ingredients']",Product 55,Milk & Whey Powder,"['vegetarian', 'gluten free']",['clean label'],,"['nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P56,0.2,"['-', '-']",,Proteinenriched Whey Powder,,,0.499,"['nutrition', 'savoury', 'single ingredients']",Product 56,Milk & Whey Powder,"['vegetarian', 'gluten free']",['clean label'],,"['nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P57,0.2,"['kosher', 'halal']",,Proteinenriched Whey Powder,,,0.499,"['nutrition', 'savoury', 'single ingredients']",Product 57,Milk & Whey Powder,"['vegetarian', 'gluten free']",['clean label'],,"['nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P106,0.2,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,0.499,['dairy'],Product 106,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P58,0.5,"['kosher', 'halal']",,Whey Protein Concentrate,,,0.799,"['dairy', ' ', 'savoury', 'single ingredients']",Product 58,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese']",
P59,0.5,"['kosher', 'halal', 'vlog']",,Whey Protein Concentrate,,,0.799,"['dairy', ' ', 'savoury', 'single ingredients']",Product 59,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese']",
P60,0.5,"['kosher', 'halal']",,Whey Protein Concentrate,,,0.799,"['bakery & sweets', 'savoury', 'single ingredients']",Product 60,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['egg substitution and egg reduction', ' ', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P61,0.5,"['kosher', 'halal', 'vlog']",,Whey Protein Concentrate,,,0.799,"['bakery & sweets', 'savoury', 'single ingredients']",Product 61,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['egg substitution and egg reduction', ' ', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P99,0.5,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,0.799,"['dairy', 'nutrition']",Product 99,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'protein enriched dairy products']",
P102,0.5,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,0.799,['dairy'],Product 102,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P1,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['bakery & sweets'],Product 1,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['egg substitution and egg reduction'],
P2,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['bakery & sweets'],Product 2,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['egg substitution and egg reduction'],
P4,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['bakery & sweets'],Product 4,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,,
P5,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,"['bakery & sweets', 'single ingredients']",Product 5,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['egg substitution and egg reduction'],
P6,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['bakery & sweets'],Product 6,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['egg substitution and egg reduction', 'glazing agents']",
P45,0.8,"['kosher', 'halal']",,Caseinate,,,1.0,"['dairy', 'nutrition', 'single ingredients']",Product 45,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese', 'milk based beverages', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals']",
P46,0.8,"['kosher', 'halal']",,Caseinate,,,1.0,"['dairy', 'nutrition', 'single ingredients']",Product 46,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese', 'milk based beverages', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals']",
P47,0.8,"['kosher', 'halal']",,Caseinate,,,1.0,"['dairy', 'nutrition', 'single ingredients']",Product 47,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese', 'milk based beverages', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals']",
P48,0.8,"['kosher', 'halal', 'vlog']",,Caseinate,,,1.0,"['dairy', 'nutrition', 'single ingredients']",Product 48,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'cream cheese', 'processed cheese', 'milk based beverages', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals']",
P49,0.8,"['kosher', 'halal']",,Caseinate,,,1.0,"['dairy', 'savoury', 'single ingredients']",Product 49,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['cream cheese', 'processed cheese', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P50,0.8,"['kosher', 'halal', 'vlog']",,Caseinate,,,1.0,"['dairy', 'savoury', 'single ingredients']",Product 50,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['cream cheese', 'processed cheese', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P51,0.8,"['kosher', 'halal']",,Caseinate,,,1.0,"['dairy', 'savoury', 'single ingredients']",Product 51,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['cream cheese', 'processed cheese', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P62,0.8,"['kosher', 'halal']",,Whey Protein Concentrate,,,1.0,"['dairy', 'bakery & sweets', ' ', 'savoury', 'single ingredients']",Product 62,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'egg substitution and egg reduction', ' ', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P63,0.8,"['kosher', 'halal', 'vlog']",,Whey Protein Concentrate,,,1.0,"['dairy', 'bakery & sweets', ' ', 'savoury', 'single ingredients']",Product 63,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'egg substitution and egg reduction', ' ', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P64,0.8,"['kosher', 'halal']",,Whey Protein Concentrate,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 64,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'milk based beverages', 'egg substitution and egg reduction', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P65,0.8,"['kosher', 'halal', 'vlog']",,Whey Protein Concentrate,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 65,Proteins,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'milk based beverages', 'egg substitution and egg reduction', 'energy bars', 'protein enriched dairy products', 'sports nutrition', 'protein shakes', 'nutritional meals', 'cooked, scalded and raw sausage', 'processed meat products', 'cooked ham', 'soups and sauces', 'dressings and mayonnaises']",
P96,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['nutrition'],Product 96,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['energy bars'],
P97,0.8,"['kosher', 'halal']",,Functional Milk Protein Compounds,,,1.0,['nutrition'],Product 97,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['energy bars'],
P98,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,['dairy'],Product 98,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P100,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,"['dairy', 'nutrition']",Product 100,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'protein enriched dairy products']",
P101,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,['dairy'],Product 101,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P103,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,"['dairy', 'nutrition']",Product 103,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'protein enriched dairy products']",
P104,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,"['dairy', 'nutrition']",Product 104,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'protein enriched dairy products']",
P105,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,"['dairy', 'nutrition']",Product 105,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,"['yoghurt & sour milk products', 'milk based beverages', 'protein enriched dairy products', 'protein shakes']",
P107,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,['dairy'],Product 107,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P108,0.8,"['kosher', 'halal']",,Stabilising Compounds for Dairy Products,,,1.0,['dairy'],Product 108,Functional Compounds,"['vegetarian', 'gluten free']",['clean label'],,['yoghurt & sour milk products'],
P109,0.8,"['kosher', 'halal']",,Casein,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 109,Proteins,"['vegetarian', 'gluten free']",['clean label'],,,
P110,0.8,"['kosher', 'halal', 'vlog']",,Casein,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 110,Proteins,"['vegetarian', 'gluten free']",['clean label'],,,
P111,0.8,"['kosher', 'halal']",,Casein,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 111,Proteins,"['vegetarian', 'gluten free']",['clean label'],,,
P112,0.8,"['kosher', 'halal', 'vlog']",,Casein,,,1.0,"['dairy', 'bakery & sweets', 'nutrition', 'savoury', 'single ingredients']",Product 112,Proteins,"['vegetarian', 'gluten free']",['clean label'],,,
P3,,"['kosher', 'halal']",,Buttermilkpowder ,,,,,Product 3,Milk & Whey Powder,"['vegetarian', 'gluten free']",['clean label'],,,
P66,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 66,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P67,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 67,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P68,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 68,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P69,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 69,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P70,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 70,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P71,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 71,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P72,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 72,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P73,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 73,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P74,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 74,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P75,,"['kosher', 'halal']",,Food Lactose ,,,,['single ingredients'],Product 75,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P76,,"['kosher', 'halal']",,Infant Lactose,,,,['single ingredients'],Product 76,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P77,,"['kosher', 'halal']",,Infant Lactose,,,,['single ingredients'],Product 77,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P78,,"['kosher', 'halal']",,Infant Lactose,,,,['single ingredients'],Product 78,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
P79,,"['kosher', 'halal']",,Infant Lactose,,,,['single ingredients'],Product 79,Lactose ,"['vegetarian', 'gluten free']",['clean label'],,,
